source,target,flow,year
Colorado,New Mexico,8038,2009
Colorado,New York,3996,2009
Colorado,North Carolina,4565,2009
Colorado,North Dakota,227,2009
Colorado,Ohio,2316,2009
Colorado,Oklahoma,4206,2009
Colorado,Oregon,2646,2009
Colorado,Pennsylvania,2613,2009
Colorado,Rhode Island,449,2009
Colorado,South Carolina,1919,2009
Colorado,South Dakota,1010,2009
Colorado,Tennessee,1755,2009
Colorado,Texas,19214,2009
Colorado,Utah,5259,2009
Colorado,Vermont,324,2009
Colorado,Virginia,4172,2009
Colorado,Washington,4325,2009
Colorado,West Virginia,468,2009
Colorado,Wisconsin,2982,2009
Colorado,Wyoming,5630,2009
Connecticut,Alabama,1963,2009
Connecticut,Alaska,504,2009
Connecticut,Arizona,629,2009
Connecticut,Arkansas,14,2009
Connecticut,California,5041,2009
Connecticut,Colorado,1815,2009
Connecticut,Delaware,409,2009
Connecticut,District of Columbia ,239,2009
Connecticut,Florida,6286,2009
Connecticut,Georgia,2216,2009
Connecticut,Hawaii,369,2009
Connecticut,Idaho,0,2009
Connecticut,Illinois,1514,2009
Connecticut,Indiana,583,2009
Connecticut,Iowa,0,2009
Connecticut,Kansas,766,2009
Connecticut,Kentucky,470,2009
Connecticut,Louisiana,114,2009
Connecticut,Maine,234,2009
Connecticut,Maryland,2796,2009
Connecticut,Massachusetts,8136,2009
Connecticut,Michigan,621,2009
Connecticut,Minnesota,14,2009
Connecticut,Mississippi,261,2009
Connecticut,Missouri,192,2009
Connecticut,Montana,75,2009
Connecticut,Nebraska,0,2009
Connecticut,Nevada,153,2009
Connecticut,New Hampshire,2932,2009
Connecticut,New Jersey,2415,2009
Connecticut,New Mexico,120,2009
Connecticut,New York,19313,2009
Connecticut,North Carolina,1426,2009
Connecticut,North Dakota,0,2009
Connecticut,Ohio,1458,2009
Connecticut,Oklahoma,125,2009
Connecticut,Oregon,161,2009
Connecticut,Pennsylvania,2799,2009
Connecticut,Rhode Island,2123,2009
Connecticut,South Carolina,857,2009
Connecticut,South Dakota,0,2009
Connecticut,Tennessee,509,2009
Connecticut,Texas,1312,2009
Connecticut,Utah,425,2009
Connecticut,Vermont,1032,2009
Connecticut,Virginia,2478,2009
Connecticut,Washington,1163,2009
Connecticut,West Virginia,0,2009
Connecticut,Wisconsin,74,2009
Connecticut,Wyoming,205,2009
Delaware,Alabama,365,2009
Delaware,Alaska,143,2009
Delaware,Arizona,494,2009
Delaware,Arkansas,0,2009
Delaware,California,575,2009
Delaware,Colorado,178,2009
Delaware,Connecticut,809,2009
Delaware,District of Columbia ,82,2009
Delaware,Florida,921,2009
Delaware,Georgia,800,2009
Delaware,Hawaii,0,2009
Delaware,Idaho,0,2009
Delaware,Illinois,724,2009
Delaware,Indiana,62,2009
Delaware,Iowa,0,2009
Delaware,Kansas,48,2009
Delaware,Kentucky,0,2009
Delaware,Louisiana,90,2009
Delaware,Maine,72,2009
Delaware,Maryland,4573,2009
Delaware,Massachusetts,1812,2009
Delaware,Michigan,262,2009
Delaware,Minnesota,0,2009
Delaware,Mississippi,0,2009
Delaware,Missouri,0,2009
Delaware,Montana,0,2009
Delaware,Nebraska,60,2009
Delaware,Nevada,0,2009
Delaware,New Hampshire,273,2009
Delaware,New Jersey,3851,2009
Delaware,New Mexico,54,2009
Delaware,New York,3351,2009
Delaware,North Carolina,317,2009
Delaware,North Dakota,0,2009
Delaware,Ohio,859,2009
Delaware,Oklahoma,0,2009
Delaware,Oregon,55,2009
Delaware,Pennsylvania,9068,2009
Delaware,Rhode Island,43,2009
Delaware,South Carolina,444,2009
Delaware,South Dakota,59,2009
Delaware,Tennessee,234,2009
Delaware,Texas,429,2009
Delaware,Utah,496,2009
Delaware,Vermont,0,2009
Delaware,Virginia,3215,2009
Delaware,Washington,14,2009
Delaware,West Virginia,47,2009
Delaware,Wisconsin,0,2009
Delaware,Wyoming,0,2009
District of Columbia ,Alabama,203,2009
District of Columbia ,Alaska,240,2009
District of Columbia ,Arizona,32,2009
District of Columbia ,Arkansas,106,2009
District of Columbia ,California,2980,2009
District of Columbia ,Colorado,505,2009
District of Columbia ,Connecticut,288,2009
District of Columbia ,Delaware,571,2009
District of Columbia ,Florida,2275,2009
District of Columbia ,Georgia,900,2009
District of Columbia ,Hawaii,145,2009
District of Columbia ,Idaho,0,2009
District of Columbia ,Illinois,1370,2009
District of Columbia ,Indiana,0,2009
District of Columbia ,Iowa,33,2009
District of Columbia ,Kansas,95,2009
District of Columbia ,Kentucky,114,2009
District of Columbia ,Louisiana,0,2009
District of Columbia ,Maine,390,2009
District of Columbia ,Maryland,9960,2009
District of Columbia ,Massachusetts,1084,2009
District of Columbia ,Michigan,259,2009
District of Columbia ,Minnesota,194,2009
District of Columbia ,Mississippi,0,2009
District of Columbia ,Missouri,102,2009
District of Columbia ,Montana,66,2009
District of Columbia ,Nebraska,57,2009
District of Columbia ,Nevada,147,2009
District of Columbia ,New Hampshire,72,2009
District of Columbia ,New Jersey,1232,2009
District of Columbia ,New Mexico,0,2009
District of Columbia ,New York,3647,2009
District of Columbia ,North Carolina,1276,2009
District of Columbia ,North Dakota,0,2009
District of Columbia ,Ohio,373,2009
District of Columbia ,Oklahoma,57,2009
District of Columbia ,Oregon,285,2009
District of Columbia ,Pennsylvania,1705,2009
District of Columbia ,Rhode Island,68,2009
District of Columbia ,South Carolina,345,2009
District of Columbia ,South Dakota,58,2009
District of Columbia ,Tennessee,89,2009
District of Columbia ,Texas,819,2009
District of Columbia ,Utah,76,2009
District of Columbia ,Vermont,161,2009
District of Columbia ,Virginia,5586,2009
District of Columbia ,Washington,190,2009
District of Columbia ,West Virginia,207,2009
District of Columbia ,Wisconsin,344,2009
District of Columbia ,Wyoming,54,2009
Florida,Alabama,9179,2009
Florida,Alaska,5863,2009
Florida,Arizona,6104,2009
Florida,Arkansas,2211,2009
Florida,California,22213,2009
Florida,Colorado,10293,2009
Florida,Connecticut,10045,2009
Florida,Delaware,2957,2009
Florida,District of Columbia ,1544,2009
Florida,Georgia,33835,2009
Florida,Hawaii,1466,2009
Florida,Idaho,577,2009
Florida,Illinois,18482,2009
Florida,Indiana,14608,2009
Florida,Iowa,2009,2009
Florida,Kansas,3021,2009
Florida,Kentucky,6699,2009
Florida,Louisiana,4864,2009
Florida,Maine,4735,2009
Florida,Maryland,6800,2009
Florida,Massachusetts,12919,2009
Florida,Michigan,19440,2009
Florida,Minnesota,5025,2009
Florida,Mississippi,4695,2009
Florida,Missouri,6812,2009
Florida,Montana,828,2009
Florida,Nebraska,1250,2009
