target,year,flow
Nevada,2015,135999
Nevada,2016,117899
Nevada,2017,133074
New Hampshire,2005,47185
New Hampshire,2006,43504
New Hampshire,2007,51178
New Hampshire,2008,46245
New Hampshire,2009,37940
New Hampshire,2010,39367
New Hampshire,2011,37000
New Hampshire,2012,50484
New Hampshire,2013,44867
New Hampshire,2014,41393
New Hampshire,2015,53446
New Hampshire,2016,52457
New Hampshire,2017,52893
New Jersey,2005,170715
New Jersey,2006,153088
New Jersey,2007,145725
New Jersey,2008,144880
New Jersey,2009,130706
New Jersey,2010,127369
New Jersey,2011,140194
New Jersey,2012,130223
New Jersey,2013,136907
New Jersey,2014,128911
New Jersey,2015,144074
New Jersey,2016,144359
New Jersey,2017,152106
New Mexico,2005,76608
New Mexico,2006,72043
New Mexico,2007,69240
New Mexico,2008,68743
New Mexico,2009,64492
New Mexico,2010,73605
New Mexico,2011,62130
New Mexico,2012,54693
New Mexico,2013,56808
New Mexico,2014,68917
New Mexico,2015,55753
New Mexico,2016,64802
New Mexico,2017,57255
New York,2005,226065
New York,2006,270242
New York,2007,270623
New York,2008,261378
New York,2009,271664
New York,2010,269427
New York,2011,282209
New York,2012,270053
New York,2013,272066
New York,2014,258571
New York,2015,257611
New York,2016,260723
New York,2017,285252
North Carolina,2005,264373
North Carolina,2006,344512
North Carolina,2007,340983
North Carolina,2008,323016
North Carolina,2009,281675
North Carolina,2010,263256
North Carolina,2011,265291
North Carolina,2012,273149
North Carolina,2013,275922
North Carolina,2014,286533
North Carolina,2015,310612
North Carolina,2016,330896
North Carolina,2017,313834
North Dakota,2005,18594
North Dakota,2006,26260
North Dakota,2007,22399
North Dakota,2008,26746
North Dakota,2009,29970
North Dakota,2010,30100
North Dakota,2011,32510
North Dakota,2012,38213
North Dakota,2013,38908
North Dakota,2014,39059
North Dakota,2015,42618
North Dakota,2016,29655
North Dakota,2017,37315
Ohio,2005,174114
Ohio,2006,196699
Ohio,2007,187897
Ohio,2008,181850
Ohio,2009,169958
Ohio,2010,172633
Ohio,2011,191778
Ohio,2012,196391
Ohio,2013,185749
Ohio,2014,196742
Ohio,2015,203475
Ohio,2016,195396
Ohio,2017,198929
Oklahoma,2005,107231
Oklahoma,2006,113604
Oklahoma,2007,121168
Oklahoma,2008,122134
Oklahoma,2009,117850
Oklahoma,2010,106511
Oklahoma,2011,108878
Oklahoma,2012,108972
Oklahoma,2013,109255
Oklahoma,2014,111346
Oklahoma,2015,110878
Oklahoma,2016,102000
Oklahoma,2017,101961
Oregon,2005,147219
Oregon,2006,149686
Oregon,2007,125508
Oregon,2008,119824
Oregon,2009,127175
Oregon,2010,116700
Oregon,2011,127906
Oregon,2012,118925
Oregon,2013,143841
Oregon,2014,137008
Oregon,2015,141162
Oregon,2016,139334
Oregon,2017,149513
Pennsylvania,2005,221277
Pennsylvania,2006,245772
Pennsylvania,2007,260873
Pennsylvania,2008,237766
Pennsylvania,2009,228748
Pennsylvania,2010,235580
Pennsylvania,2011,234291
Pennsylvania,2012,215500
Pennsylvania,2013,224280
Pennsylvania,2014,232889
Pennsylvania,2015,232683
Pennsylvania,2016,252060
Pennsylvania,2017,250120
Rhode Island,2005,23896
Rhode Island,2006,32582
Rhode Island,2007,34153
Rhode Island,2008,28128
Rhode Island,2009,33174
Rhode Island,2010,32059
Rhode Island,2011,26769
Rhode Island,2012,33446
Rhode Island,2013,34108
Rhode Island,2014,32621
Rhode Island,2015,38344
Rhode Island,2016,32800
Rhode Island,2017,36850
South Carolina,2005,141316
South Carolina,2006,163108
South Carolina,2007,173583
South Carolina,2008,150608
South Carolina,2009,145571
South Carolina,2010,152441
South Carolina,2011,157644
South Carolina,2012,156705
South Carolina,2013,166047
South Carolina,2014,171969
South Carolina,2015,170366
South Carolina,2016,165230
South Carolina,2017,166573
South Dakota,2005,25467
South Dakota,2006,27681
South Dakota,2007,27348
South Dakota,2008,24010
South Dakota,2009,29631
South Dakota,2010,25777
South Dakota,2011,27506
South Dakota,2012,26051
South Dakota,2013,30042
South Dakota,2014,28198
South Dakota,2015,26962
South Dakota,2016,31789
South Dakota,2017,26106
Tennessee,2005,184630
Tennessee,2006,186652
Tennessee,2007,186763
Tennessee,2008,179908
Tennessee,2009,168089
Tennessee,2010,159778
Tennessee,2011,170969
Tennessee,2012,177098
Tennessee,2013,186525
Tennessee,2014,182130
Tennessee,2015,195923
Tennessee,2016,170867
Tennessee,2017,191909
Texas,2005,503251
Texas,2006,632695
Texas,2007,551731
Texas,2008,536878
Texas,2009,506887
Texas,2010,486558
Texas,2011,514726
Texas,2012,507752
Texas,2013,548034
Texas,2014,538572
Texas,2015,553032
Texas,2016,531996
Texas,2017,524511
Utah,2005,78614
Utah,2006,101010
Utah,2007,103813
Utah,2008,101644
Utah,2009,90344
Utah,2010,77780
Utah,2011,85217
Utah,2012,87870
Utah,2013,97869
Utah,2014,90234
Utah,2015,97361
Utah,2016,107083
Utah,2017,99584
Vermont,2005,19860
Vermont,2006,26081
Vermont,2007,23120
Vermont,2008,21974
Vermont,2009,19390
Vermont,2010,22529
Vermont,2011,20463
Vermont,2012,24431
Vermont,2013,23180
