target,source,flow,year
Nebraska,South Carolina,243,2011
Nebraska,South Dakota,2999,2011
Nebraska,Tennessee,226,2011
Nebraska,Montana,64,2011
Nebraska,Missouri,1848,2011
Nebraska,Mississippi,424,2011
Nebraska,Minnesota,1455,2011
Nebraska,Delaware,0,2011
Nebraska,District of Columbia ,29,2011
Nebraska,Florida,1105,2011
Nebraska,Georgia,434,2011
Nebraska,Hawaii,275,2011
Nebraska,Idaho,506,2011
Nebraska,Illinois,1415,2011
Nebraska,Texas,5343,2011
Nebraska,Indiana,615,2011
Nebraska,Kansas,3040,2011
Nebraska,Kentucky,352,2011
Nebraska,Louisiana,222,2011
Nebraska,Maine,122,2011
Nebraska,Maryland,318,2011
Nebraska,Massachusetts,0,2011
Nebraska,Michigan,683,2011
Nebraska,Iowa,9575,2011
Nebraska,Utah,734,2011
Nebraska,Vermont,0,2011
Nebraska,Virginia,615,2011
Nevada,Kansas,602,2011
Nevada,Kentucky,628,2011
Nevada,Louisiana,78,2011
Nevada,Maine,49,2011
Nevada,Maryland,931,2011
Nevada,Massachusetts,256,2011
Nevada,Michigan,1663,2011
Nevada,Iowa,114,2011
Nevada,Minnesota,1055,2011
Nevada,Missouri,335,2011
Nevada,Montana,1137,2011
Nevada,Nebraska,32,2011
Nevada,New Hampshire,0,2011
Nevada,New Jersey,2118,2011
Nevada,New Mexico,2136,2011
Nevada,New York,1516,2011
Nevada,Mississippi,203,2011
Nebraska,Connecticut,381,2011
Nevada,Indiana,855,2011
Nevada,Idaho,3929,2011
Nebraska,Washington,835,2011
Nebraska,West Virginia,24,2011
Nebraska,Wisconsin,560,2011
Nebraska,Wyoming,965,2011
Nevada,Alabama,280,2011
Nevada,Alaska,597,2011
Nevada,Arizona,10142,2011
Nevada,Illinois,1668,2011
Nevada,Arkansas,310,2011
Nevada,Colorado,2714,2011
Nevada,Connecticut,189,2011
Nevada,Delaware,184,2011
Nevada,District of Columbia ,983,2011
Nevada,Florida,2923,2011
Nevada,Georgia,1731,2011
Nevada,Hawaii,4093,2011
Nevada,California,40114,2011
Nebraska,Colorado,3245,2011
Nebraska,California,5124,2011
Nebraska,Arkansas,161,2011
Missouri,West Virginia,196,2011
Missouri,Wisconsin,1503,2011
Missouri,Wyoming,1120,2011
Montana,Alabama,449,2011
Montana,Alaska,1118,2011
Montana,Arizona,1971,2011
Montana,Arkansas,49,2011
Missouri,Washington,2518,2011
Montana,California,3033,2011
Montana,Connecticut,58,2011
Montana,Delaware,365,2011
Montana,District of Columbia ,0,2011
Montana,Florida,291,2011
Montana,Georgia,231,2011
Montana,Hawaii,32,2011
Montana,Idaho,1543,2011
Montana,Colorado,2856,2011
Montana,Illinois,765,2011
Missouri,Virginia,2684,2011
Missouri,Utah,1697,2011
Missouri,Nevada,1544,2011
Missouri,New Hampshire,769,2011
Missouri,New Jersey,1114,2011
Missouri,New Mexico,1016,2011
Missouri,New York,2904,2011
Missouri,North Carolina,3669,2011
Missouri,North Dakota,977,2011
Missouri,Vermont,88,2011
Missouri,Ohio,3240,2011
Missouri,Oregon,777,2011
Missouri,Pennsylvania,1810,2011
Missouri,Rhode Island,359,2011
Missouri,South Carolina,267,2011
Missouri,South Dakota,361,2011
Missouri,Tennessee,2676,2011
Missouri,Texas,10293,2011
Missouri,Oklahoma,6073,2011
Nevada,North Carolina,1333,2011
Montana,Indiana,646,2011
Montana,Kansas,845,2011
Montana,Pennsylvania,840,2011
Montana,Rhode Island,0,2011
Montana,South Carolina,77,2011
Montana,South Dakota,227,2011
Montana,Tennessee,266,2011
Montana,Texas,1329,2011
Montana,Utah,1232,2011
Montana,Oregon,1959,2011
Montana,Vermont,53,2011
Montana,Washington,3835,2011
Montana,West Virginia,14,2011
Montana,Wisconsin,146,2011
Montana,Wyoming,2413,2011
Nebraska,Alabama,169,2011
Nebraska,Alaska,721,2011
Nebraska,Arizona,1646,2011
Montana,Virginia,278,2011
Montana,Iowa,417,2011
Montana,Oklahoma,96,2011
Montana,North Dakota,360,2011
Montana,Kentucky,0,2011
Montana,Louisiana,0,2011
Montana,Maine,71,2011
Montana,Maryland,57,2011
Montana,Massachusetts,10,2011
Montana,Michigan,353,2011
Montana,Minnesota,969,2011
Montana,Ohio,321,2011
Montana,Mississippi,0,2011
Montana,Nebraska,384,2011
Montana,Nevada,688,2011
Montana,New Hampshire,0,2011
Montana,New Jersey,889,2011
Montana,New Mexico,264,2011
Montana,New York,422,2011
Montana,North Carolina,1173,2011
Montana,Missouri,158,2011
Nevada,North Dakota,0,2011
Nevada,Ohio,1354,2011
Nevada,Oklahoma,258,2011
New Jersey,Oregon,360,2011
New Jersey,Pennsylvania,19733,2011
New Jersey,Rhode Island,463,2011
New Jersey,South Carolina,1586,2011
New Jersey,South Dakota,0,2011
New Jersey,Tennessee,1412,2011
New Jersey,Texas,3801,2011
New Jersey,Oklahoma,773,2011
New Jersey,Utah,256,2011
New Jersey,Virginia,4458,2011
New Jersey,Washington,2454,2011
New Jersey,West Virginia,1252,2011
New Jersey,Wisconsin,214,2011
New Jersey,Wyoming,15,2011
New Mexico,Alabama,410,2011
New Mexico,Alaska,416,2011
New Jersey,Vermont,0,2011
New Mexico,Arizona,7444,2011
New Jersey,Ohio,1121,2011
New Jersey,North Carolina,2482,2011
New Jersey,Kansas,317,2011
New Jersey,Kentucky,102,2011
New Jersey,Louisiana,871,2011
New Jersey,Maine,624,2011
New Jersey,Maryland,5335,2011
New Jersey,Massachusetts,4675,2011
New Jersey,Michigan,1889,2011
New Jersey,North Dakota,61,2011
New Jersey,Minnesota,1261,2011
New Jersey,Missouri,583,2011
New Jersey,Montana,49,2011
New Jersey,Nebraska,312,2011
New Jersey,Nevada,899,2011
New Jersey,New Hampshire,499,2011
New Jersey,New Mexico,355,2011
New Jersey,New York,40815,2011
New Jersey,Mississippi,510,2011
New Jersey,Iowa,332,2011
New Mexico,Arkansas,682,2011
New Mexico,Colorado,5525,2011
New Mexico,Montana,544,2011
New Mexico,Nebraska,353,2011
New Mexico,Nevada,2099,2011
New Mexico,New Hampshire,114,2011
New Mexico,New Jersey,245,2011
New Mexico,New York,1445,2011
New Mexico,North Carolina,522,2011
New Mexico,Missouri,1183,2011
New Mexico,North Dakota,264,2011
New Mexico,Oklahoma,234,2011
New Mexico,Oregon,916,2011
New Mexico,Pennsylvania,492,2011
New Mexico,Rhode Island,0,2011
New Mexico,South Carolina,145,2011
New Mexico,South Dakota,240,2011
New Mexico,Tennessee,899,2011
New Mexico,Ohio,1742,2011
New Mexico,California,7066,2011
New Mexico,Mississippi,556,2011
New Mexico,Michigan,908,2011
