,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
United States1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Missouri,"2,676",814,"3,269","5,795","7,509","2,753",799,82,397,"6,801","3,512","1,047",311,"21,245","2,956","5,484","18,757","3,358","1,526",509,994,716,"2,304","1,778","1,617",N/A,303,"1,887","1,851",0,"1,515",515,"2,555","2,766",235,"3,895","4,283",915,"2,449",189,707,"1,320","3,262","9,955","1,223",163,"4,702","2,346",969,"5,125",66,N/A,66
Montana,0,"1,209","1,786",133,"2,471","1,967",39,0,0,"2,267",599,93,"1,616",875,303,34,0,171,145,20,183,238,306,416,395,265,N/A,31,"1,116",35,60,471,379,565,"1,051",269,142,"1,764",199,68,131,344,417,902,"1,021",0,159,"4,701",45,729,885,N/A,0
Nebraska,58,364,"1,972",279,"4,272","2,393",288,79,69,"4,052","1,024",123,177,"1,472",195,"7,080","4,783",250,117,0,354,309,"1,465","1,757",418,"2,973",228,N/A,387,408,22,298,515,94,682,191,227,138,240,0,821,"1,191",314,"4,072",276,265,941,"2,281",0,908,"2,285",N/A,107
Nevada,460,"1,188","7,681",717,"39,762","2,293",386,0,167,"5,438","1,409","3,073","3,050","2,451",940,491,348,643,290,0,329,192,"2,516","1,863",567,"1,193",345,271,N/A,763,505,"1,544","1,638","2,412",637,549,352,"3,268","1,079",169,0,346,292,"4,991","5,331",0,"1,915","3,206",20,968,471,N/A,738
New Hampshire,347,18,207,261,"1,231",523,"2,113",0,0,"1,839",362,52,0,536,321,0,68,0,58,"1,792",449,"14,984",213,0,187,130,452,0,0,N/A,737,0,"2,370",761,0,537,0,249,804,"1,256",0,324,133,820,209,"2,109","1,241",147,0,100,0,N/A,0
New Jersey,250,"1,116","1,270",0,"6,156",524,"4,343","2,693",860,"13,935","4,958",699,342,"2,509",545,128,61,59,174,588,"3,089","3,982",800,722,295,314,0,137,299,477,N/A,360,"41,692","3,499",53,"2,122",277,199,"19,947",534,"1,326",0,494,"3,368",129,65,"3,378","1,060",683,117,78,N/A,"5,506"
New Mexico,"2,420",588,"9,402",290,"8,439","3,269",42,49,366,"1,911","1,347",263,200,"1,807","1,434",647,234,123,45,63,670,821,683,516,436,"1,941",763,934,"3,274",0,879,N/A,300,510,194,976,"1,180","1,012",452,0,668,0,54,"9,796","2,710",166,"1,196","1,001",102,262,57,N/A,305
New York,"2,626","2,993","4,099",759,"22,916","3,047","12,522",893,"3,573","30,875","8,175","1,327",607,"6,982","2,566",846,671,"1,811","1,525","1,557","6,982","17,239","7,467","1,921",205,"2,225",889,315,"3,137","2,285","36,630","1,248",N/A,"11,518",0,"5,822","1,777",807,"21,961","2,620","3,874",219,"2,736","10,249",497,"4,407","8,902","2,163",995,"1,894",310,N/A,"5,818"
North Carolina,"5,102","1,184","3,016","1,522","13,044","2,978","4,669","1,890","1,654","24,457","14,511","1,211",118,"4,708","2,927","1,463","2,982","5,790","1,913","1,338","9,570","5,673","9,510","1,089","2,983","3,945",50,228,"2,159","1,746","13,266","1,432","20,865",N/A,117,"11,709","1,620","1,728","10,774","1,717","22,374",339,"7,780","13,658",195,"2,190","27,787","2,000","5,260","3,007",427,N/A,"2,496"
North Dakota,312,922,776,4,"1,344",468,84,0,0,979,392,0,257,568,181,513,114,327,83,0,294,0,637,"13,564",113,63,"1,689",100,207,0,203,337,66,299,N/A,314,0,122,191,0,22,"1,222",96,"1,270",280,0,85,390,141,365,576,N/A,0
Ohio,"2,326","1,311","3,845",930,"7,763","1,788","1,164",598,218,"13,641","4,774",590,962,"6,871","10,204",744,"1,521","10,490",896,431,"3,273","3,360","15,255","2,764",879,"2,545",239,480,"1,503",823,"2,187",689,"10,451","5,793",232,N/A,382,990,"10,965",336,"3,473",791,"8,025","5,372","1,162",503,"7,827","1,620","5,679","1,157",136,N/A,"1,936"
Oklahoma,"1,313",765,"4,401","7,671","9,264","4,385",0,43,87,"4,103","3,389",247,189,"2,314",782,"2,370","5,696","1,431","1,676",41,"1,776",525,893,562,"1,325","5,505",138,437,"1,364",28,"1,033","2,776","2,076","2,096",272,"1,573",N/A,"2,081","1,180",147,690,332,"1,091","32,437","1,420",232,"2,351","1,989",115,393,846,N/A,0
Oregon,"1,178","4,826","4,833",457,"32,088","2,955",787,0,283,"3,411",362,"3,155","5,791","1,506",300,487,"1,162","1,942","1,284",295,187,"1,325","1,625","1,408",94,401,"2,163",611,"4,062",0,788,"1,142",983,"3,120",0,"1,215","2,361",N/A,"1,471",55,113,0,"1,037","5,636","2,239",303,"1,115","23,557",901,769,"1,392",N/A,314
Pennsylvania,705,"1,185","2,493",798,"9,955","3,233","4,552","5,805","2,153","15,365","5,439",506,753,"3,731","1,767",349,"1,345","2,274",859,998,"18,826","5,320","4,431","1,007","1,279","1,116",90,237,"2,401",511,"38,000",270,"31,898","8,218",254,"12,275",781,"1,803",N/A,"1,406","2,895",638,"2,016","6,279","2,374",583,"11,607","1,491","4,074","2,252",151,N/A,"3,568"
Rhode Island,0,"2,076",446,0,"2,045",0,"3,050",62,107,"2,074",710,196,87,54,0,0,0,132,66,400,754,"6,947",185,169,249,0,65,13,84,"1,064","1,330",0,"3,042",654,0,592,0,56,982,N/A,611,13,782,327,0,521,"2,855",330,0,44,0,N/A,442
South Carolina,"2,447",241,"1,378",555,"5,290","1,454","2,951","1,005",330,"11,845","17,672",608,491,"2,501","1,628",326,259,"2,213","2,125",484,"1,692","1,908","3,353",637,808,"1,682",184,356,639,"1,240","4,722",752,"10,762","24,468",55,"7,011",876,616,"7,008",424,N/A,183,"3,330","4,461",164,567,"8,035","1,841",617,850,527,N/A,302
South Dakota,180,15,361,56,"2,390","1,000",11,0,0,994,24,56,158,984,0,"2,539",384,30,16,234,0,46,511,"5,445",99,210,"1,756","2,002",99,0,57,21,587,567,"1,658","1,192",518,554,303,0,13,N/A,74,760,"1,032",165,299,891,0,674,666,N/A,1
Tennessee,"9,479","1,101","3,644","5,854","7,555","1,728",476,352,621,"14,221","15,255","1,434",887,"4,449","6,225",907,"1,515","9,874","4,497",807,"1,903",857,"6,991",887,"8,735","3,246",0,"1,001",495,421,"1,643",882,"5,361","8,333",0,"7,424","1,840",682,"2,098",130,"3,456",0,N/A,"7,422",805,109,"7,904","2,278",537,"1,316",452,N/A,85
Texas,"8,538","9,457","21,263","10,856","61,270","19,748","2,291","1,896","1,298","38,150","19,389","6,988","2,303","23,156","9,112","2,375","10,722","4,045","26,438",748,"9,001","4,162","12,444","7,075","6,329","12,940","1,346","3,355","6,111",823,"5,813","15,279","12,973","16,530",839,"11,900","25,784","4,375","9,849","1,385","9,363","1,360","10,479",N/A,"4,435",485,"17,223","9,996",906,"2,915","1,369",N/A,"4,279"
Utah,336,783,"10,309",92,"15,623","6,976",118,500,254,"2,599","1,494","1,968","7,914","1,357",521,962,809,456,60,156,532,"1,221",906,"1,212",191,"1,126","1,682","1,178","5,272",206,380,954,"1,776",233,0,542,669,"3,060",608,106,119,71,"1,331","4,769",N/A,0,"1,047","5,817",96,656,"1,297",N/A,31
Vermont,64,0,46,46,793,800,"1,354",0,152,806,115,262,26,313,52,199,0,39,384,996,123,"1,940",99,50,0,154,0,58,30,"3,828",558,148,"2,673",180,0,326,41,0,863,225,38,38,126,404,207,N/A,254,167,0,173,240,N/A,0
Virginia,"2,890","1,983","5,651",602,"17,162","3,707","5,330","1,236","8,030","18,322","10,684","4,651","1,225","6,402","2,432",998,"2,229","2,257","2,082","2,891","26,226","5,017","7,227","1,026","1,527","1,394",524,"1,852","1,506","1,850","9,348",760,"18,470","22,109",213,"6,870",839,715,"10,518","1,243","9,969",0,"10,902","12,764","3,226",932,N/A,"4,090","4,710","1,469","1,149",N/A,"2,391"
Washington,"1,179","3,199","9,507",708,"42,693","4,974","1,134",111,247,"6,782","5,041","4,084","8,128","3,899","1,764","1,593",723,792,970,459,"2,426","1,762","4,827","2,021","1,349","3,886","3,050",356,"4,082",342,"1,969","1,683","5,378","3,145",488,"2,099","1,521","26,687","1,113",456,"1,317",515,"1,189","10,693","3,716",112,"3,938",N/A,917,"1,518","1,517",N/A,595
West Virginia,988,"1,272",931,321,181,765,0,200,228,"4,622","1,397",241,530,592,"1,159",0,0,"2,901",0,54,"4,117",121,"2,085",80,892,433,0,169,105,0,"1,090",0,"1,117","2,610",265,"6,950",114,0,"3,085",0,"1,217",153,433,"1,276",475,293,"6,307",37,N/A,42,0,N/A,307
Wisconsin,574,603,"2,323",365,"4,361","2,798",571,66,0,"4,493","1,406",341,653,"21,139","2,460","2,636","1,495",350,518,23,669,279,"5,456","16,937",789,"1,398",176,313,976,94,410,657,"2,203","2,137",306,"2,609",230,689,976,744,425,451,"1,397","3,135",569,179,"1,710","1,642",195,N/A,222,N/A,327
Wyoming,0,454,759,300,"1,581","4,636",0,0,0,857,397,207,"1,241",171,164,92,440,0,324,0,0,124,"1,625",357,0,"1,681","1,659","1,861",235,0,122,199,96,153,189,224,187,81,92,107,101,"1,820",758,"1,340","3,832",0,367,"1,770",0,286,N/A,N/A,0
Puerto Rico,0,0,774,60,668,413,"1,461",0,0,"11,603",724,0,0,667,0,0,0,56,0,113,427,"2,182",0,0,0,0,0,76,0,51,"2,356",53,"3,867",452,0,108,0,0,"1,538",837,0,157,169,"2,182",0,0,697,226,0,68,123,N/A,N/A
