target,source,flow,year
Colorado,Minnesota,2878,2010
Colorado,Mississippi,1277,2010
Colorado,Missouri,1978,2010
Colorado,Montana,2042,2010
Colorado,Nebraska,4065,2010
Colorado,Nevada,4131,2010
Colorado,New Hampshire,791,2010
Colorado,New Jersey,1259,2010
Colorado,New Mexico,3921,2010
Colorado,New York,4594,2010
Colorado,North Carolina,2940,2010
Colorado,North Dakota,802,2010
Colorado,Ohio,2838,2010
Colorado,Oklahoma,3464,2010
Colorado,Oregon,4330,2010
Colorado,Pennsylvania,3928,2010
Colorado,Rhode Island,192,2010
Colorado,South Carolina,1231,2010
Colorado,South Dakota,1847,2010
Colorado,Tennessee,1628,2010
Colorado,Texas,22253,2010
Colorado,Utah,4748,2010
Colorado,Vermont,350,2010
Colorado,Virginia,2739,2010
Colorado,Washington,7583,2010
Colorado,West Virginia,623,2010
Colorado,Wisconsin,2499,2010
Colorado,Wyoming,4418,2010
Connecticut,Alabama,896,2010
Connecticut,Alaska,0,2010
Connecticut,Arizona,664,2010
Connecticut,Arkansas,334,2010
Connecticut,California,4479,2010
Connecticut,Colorado,547,2010
Connecticut,Delaware,149,2010
Connecticut,District of Columbia ,331,2010
Connecticut,Florida,9207,2010
Connecticut,Georgia,748,2010
Connecticut,Hawaii,182,2010
Connecticut,Idaho,147,2010
Connecticut,Illinois,3391,2010
Connecticut,Indiana,1074,2010
Connecticut,Iowa,108,2010
Connecticut,Kansas,0,2010
Connecticut,Kentucky,400,2010
Connecticut,Louisiana,0,2010
Connecticut,Maine,528,2010
Connecticut,Maryland,1531,2010
Connecticut,Massachusetts,8510,2010
Connecticut,Michigan,770,2010
Connecticut,Minnesota,934,2010
Connecticut,Mississippi,67,2010
Connecticut,Missouri,42,2010
Connecticut,Montana,0,2010
Connecticut,Nebraska,0,2010
Connecticut,Nevada,507,2010
Connecticut,New Hampshire,1049,2010
Connecticut,New Jersey,3475,2010
Connecticut,New Mexico,112,2010
Connecticut,New York,20727,2010
Connecticut,North Carolina,1345,2010
Connecticut,North Dakota,0,2010
Connecticut,Ohio,1296,2010
Connecticut,Oklahoma,145,2010
Connecticut,Oregon,640,2010
Connecticut,Pennsylvania,1955,2010
Connecticut,Rhode Island,1728,2010
Connecticut,South Carolina,1140,2010
Connecticut,South Dakota,0,2010
Connecticut,Tennessee,430,2010
Connecticut,Texas,1887,2010
Connecticut,Utah,0,2010
Connecticut,Vermont,458,2010
Connecticut,Virginia,1735,2010
Connecticut,Washington,2084,2010
Connecticut,West Virginia,442,2010
Connecticut,Wisconsin,1092,2010
Connecticut,Wyoming,47,2010
Delaware,Alabama,128,2010
Delaware,Alaska,68,2010
Delaware,Arizona,60,2010
Delaware,Arkansas,0,2010
Delaware,California,353,2010
Delaware,Colorado,178,2010
Delaware,Connecticut,714,2010
Delaware,District of Columbia ,432,2010
Delaware,Florida,2362,2010
Delaware,Georgia,585,2010
Delaware,Hawaii,0,2010
Delaware,Idaho,0,2010
Delaware,Illinois,612,2010
Delaware,Indiana,0,2010
Delaware,Iowa,0,2010
Delaware,Kansas,28,2010
Delaware,Kentucky,163,2010
Delaware,Louisiana,0,2010
Delaware,Maine,294,2010
Delaware,Maryland,4969,2010
Delaware,Massachusetts,689,2010
Delaware,Michigan,61,2010
Delaware,Minnesota,55,2010
Delaware,Mississippi,0,2010
Delaware,Missouri,539,2010
Delaware,Montana,73,2010
Delaware,Nebraska,0,2010
Delaware,Nevada,106,2010
Delaware,New Hampshire,139,2010
Delaware,New Jersey,3678,2010
Delaware,New Mexico,59,2010
Delaware,New York,4251,2010
Delaware,North Carolina,424,2010
Delaware,North Dakota,0,2010
Delaware,Ohio,325,2010
Delaware,Oklahoma,0,2010
Delaware,Oregon,0,2010
Delaware,Pennsylvania,7318,2010
Delaware,Rhode Island,149,2010
Delaware,South Carolina,195,2010
Delaware,South Dakota,0,2010
Delaware,Tennessee,146,2010
Delaware,Texas,178,2010
Delaware,Utah,0,2010
Delaware,Vermont,0,2010
Delaware,Virginia,1051,2010
Delaware,Washington,377,2010
Delaware,West Virginia,0,2010
Delaware,Wisconsin,0,2010
Delaware,Wyoming,0,2010
District of Columbia ,Alabama,360,2010
District of Columbia ,Alaska,591,2010
District of Columbia ,Arizona,662,2010
District of Columbia ,Arkansas,155,2010
District of Columbia ,California,4205,2010
District of Columbia ,Colorado,656,2010
District of Columbia ,Connecticut,926,2010
District of Columbia ,Delaware,0,2010
District of Columbia ,Florida,1100,2010
District of Columbia ,Georgia,1597,2010
District of Columbia ,Hawaii,0,2010
District of Columbia ,Idaho,0,2010
