source,2011,2012,2013,2014,2015,2016,2017,avg
Virginia,0.8914829074787073,0.9516742269192868,0.8876357246910057,1.0049147163370504,0.9671533766631258,1.0435600611741191,1.048197532835642,0.9706597922998483
Nebraska,1.0141924332629153,1.1282762446262655,1.0414576699960745,0.8279501915708812,1.0049102927289897,0.9224070906546415,0.9095930066467328,0.9783981327837858
Maine,0.9973682654207818,1.4015187297896305,0.7841218053289831,0.8210930500447972,1.2300567672542575,0.8544441565172325,0.8006831717855891,0.9841837065916105
South Dakota,1.0682396568021522,0.8649955855821274,0.969243059716397,1.1048301297964394,0.9557525406127142,0.93283840322124,1.050026813759289,0.9922751699271941
Rhode Island,1.1604841421046732,0.9118579202296239,1.0589597748328838,1.1610925477453173,0.7802524514917588,1.0855487804878048,0.8186160108548168,0.9966873753924113
Iowa,1.0583907392940843,0.9678590285110876,1.0240581625908791,0.9717907922317347,0.9431793057705063,0.9838493285460562,1.0296605771226905,0.9969697048667199
Wisconsin,0.9628194702071473,0.9852004193886604,1.0927354580251076,0.9736317267951557,1.0256499328707833,0.9584897402662986,1.0086474284343088,1.001024882283923
Indiana,1.1200713202058277,1.0779799756964894,1.0147107289450819,0.9787122978133089,0.9599197445925886,0.9425649257109932,0.9283435237894441,1.003186073821962
West Virginia,0.9178716944954861,1.006366047745358,0.9359085397540273,1.0176616552328128,1.2346832073767764,1.0906856513263836,1.0828355037868374,1.0408588999596688
Pennsylvania,0.9182042844155345,1.100491879350348,1.102617264134118,1.0813907054433658,1.1298075063498407,1.022740617313338,1.0180473372781065,1.0533285134692358
Mississippi,1.0012552728758886,0.9108435374149659,1.0560156295561907,0.9812788291152083,1.1731337687992964,1.19910580299819,1.061102122394594,1.054676423307762
Ohio,1.0744141663798767,1.0143132831952584,1.084877980500568,1.0521698468044445,1.0479714952696892,1.0851859812892792,1.0379532395980475,1.056697999005309
Louisiana,0.8734592184631523,1.0519761004220798,1.0851244436221963,0.8782076185413131,1.0733596939595589,1.0798748989703764,1.4033170410236697,1.0636170021431925
Kansas,1.1260162601626016,1.0549363418059898,1.0473393881985846,0.964547461826324,1.0910006568863586,1.044928515141281,1.156765791489658,1.0693620593586854
District of Columbia ,1.0346606749053384,1.105573100501579,1.225805758948702,1.0516413557634172,1.080644353559803,1.0312618220586718,1.1562661165549253,1.0979790260417768
