target,source,flow
Montana,Hawaii,98
Nebraska,Hawaii,191
Nevada,Hawaii,1193
New Hampshire,Hawaii,80
New Jersey,Hawaii,524
New Mexico,Hawaii,115
New York,Hawaii,2191
North Carolina,Hawaii,2486
North Dakota,Hawaii,0
Ohio,Hawaii,539
Oklahoma,Hawaii,1041
Oregon,Hawaii,2244
Pennsylvania,Hawaii,981
Rhode Island,Hawaii,429
South Carolina,Hawaii,1214
South Dakota,Hawaii,0
Tennessee,Hawaii,331
Texas,Hawaii,2031
Utah,Hawaii,1707
Vermont,Hawaii,0
Virginia,Hawaii,3402
Washington,Hawaii,3176
West Virginia,Hawaii,130
Wisconsin,Hawaii,158
Wyoming,Hawaii,0
Alabama,Idaho,564
Alaska,Idaho,1061
Arizona,Idaho,3152
Arkansas,Idaho,1441
California,Idaho,18928
Colorado,Idaho,3659
Connecticut,Idaho,127
Delaware,Idaho,0
District of Columbia ,Idaho,0
Florida,Idaho,1864
Georgia,Idaho,1079
Hawaii,Idaho,0
Illinois,Idaho,857
Indiana,Idaho,147
Iowa,Idaho,120
Kansas,Idaho,1201
Kentucky,Idaho,792
Louisiana,Idaho,240
Maine,Idaho,128
Maryland,Idaho,170
Massachusetts,Idaho,457
Michigan,Idaho,100
Minnesota,Idaho,533
Mississippi,Idaho,0
Missouri,Idaho,1864
Montana,Idaho,1466
Nebraska,Idaho,0
Nevada,Idaho,1891
New Hampshire,Idaho,119
New Jersey,Idaho,27
New Mexico,Idaho,391
New York,Idaho,1003
North Carolina,Idaho,226
North Dakota,Idaho,833
Ohio,Idaho,563
Oklahoma,Idaho,567
Oregon,Idaho,7295
Pennsylvania,Idaho,217
Rhode Island,Idaho,0
South Carolina,Idaho,196
South Dakota,Idaho,152
Tennessee,Idaho,419
Texas,Idaho,2959
Utah,Idaho,6625
Vermont,Idaho,343
Virginia,Idaho,689
Washington,Idaho,6499
West Virginia,Idaho,441
Wisconsin,Idaho,122
Wyoming,Idaho,2282
Alabama,Illinois,1853
Alaska,Illinois,350
Arizona,Illinois,6776
Arkansas,Illinois,1452
California,Illinois,18953
Colorado,Illinois,3998
Connecticut,Illinois,1473
Delaware,Illinois,171
District of Columbia ,Illinois,1050
Florida,Illinois,11428
Georgia,Illinois,5581
Hawaii,Illinois,1697
Idaho,Illinois,474
Indiana,Illinois,14473
Iowa,Illinois,9969
Kansas,Illinois,1267
Kentucky,Illinois,2654
Louisiana,Illinois,2022
Maine,Illinois,563
Maryland,Illinois,2549
Massachusetts,Illinois,3460
Michigan,Illinois,11936
Minnesota,Illinois,4832
Mississippi,Illinois,2503
Missouri,Illinois,15395
Montana,Illinois,636
Nebraska,Illinois,1791
Nevada,Illinois,2266
New Hampshire,Illinois,170
New Jersey,Illinois,3259
New Mexico,Illinois,757
New York,Illinois,6923
North Carolina,Illinois,4458
North Dakota,Illinois,418
Ohio,Illinois,10281
Oklahoma,Illinois,2549
Oregon,Illinois,1838
Pennsylvania,Illinois,4810
Rhode Island,Illinois,438
South Carolina,Illinois,1805
South Dakota,Illinois,295
Tennessee,Illinois,5566
Texas,Illinois,11719
Utah,Illinois,607
Vermont,Illinois,302
Virginia,Illinois,5804
Washington,Illinois,3377
West Virginia,Illinois,808
Wisconsin,Illinois,11785
Wyoming,Illinois,287
Alabama,Indiana,2130
Alaska,Indiana,0
Arizona,Indiana,2871
Arkansas,Indiana,640
California,Indiana,6407
Colorado,Indiana,2271
Connecticut,Indiana,681
Delaware,Indiana,105
District of Columbia ,Indiana,71
Florida,Indiana,7523
Georgia,Indiana,3710
Hawaii,Indiana,405
Idaho,Indiana,1176
Illinois,Indiana,34221
Iowa,Indiana,514
Kansas,Indiana,1037
Kentucky,Indiana,13386
Louisiana,Indiana,968
Maine,Indiana,698
Maryland,Indiana,811
Massachusetts,Indiana,1172
Michigan,Indiana,11465
Minnesota,Indiana,1620
Mississippi,Indiana,646
Missouri,Indiana,3176
Montana,Indiana,970
Nebraska,Indiana,874
Nevada,Indiana,2359
